Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_040649.1,,"Hamid,M.R., Xie,J., Wu,S., Maria,S.K., Zheng,D., Assane Hamidou,A., Wang,Q., Cheng,J., Fu,Y., Jiang,D., Hamidou,A.A.",2019-02-12T00:00:00Z,228,Sclerotinia sclerotiorum deltaflexivirus 2,Deltaflexivirus,Deltaflexiviridae,ssRNA(+),6735,RefSeq,complete,,,1,China,China,,Sclerotinia sclerotiorum,,2014-03-01,,"Sclerotinia sclerotiorum deltaflexivirus 2 isolate 228, complete genome"
NC_040650.1,,"Kominek,P., Kominkova,M.",2019-02-12T00:00:00Z,CZ-Wharf1,Pleione flower breaking virus,Potyvirus,Potyviridae,ssRNA(+),9952,RefSeq,complete,,,,Czech Republic,Czech Republic,,Pleione humilis,,2017-06-08,,"Pleione flower breaking virus isolate CZ-Wharf1, complete genome"
NC_040653.1,,"Li,W., Xia,Y., Zhang,H., Zhang,X., Chen,H.",2019-02-12T00:00:00Z,F16176,Fusarium asiaticum victorivirus 1,Victorivirus,Totiviridae,dsRNA,5281,RefSeq,complete,,,1,China,China,,Fusarium asiaticum,,2016-04,,"Fusarium asiaticum victorivirus 1 isolate F16176, complete genome"
NC_040654.1,,"Hang,J., Sanborn,M.A., Fung,C.K., Figueroa,K.L., Kim,H.C., Klein,T.A., Jarman,R.G.",2019-02-12T00:00:00Z,,Yongsan picorna-like virus 4,,,ssRNA(+),8393,RefSeq,complete,,,,South Korea: Yongsan,South Korea,,Aedes vexans nipponii,,2016-06-09,,"Yongsan picorna-like virus 4 strain 16-0128/ROK/2016 putative polyprotein gene, complete cds"
NC_040656.1,,"Ikeda,Y., Shimura,H., Kitahara,R., Masuta,C., Ezawa,T.",2019-02-12T00:00:00Z,,Rhizophagus sp. RF1 mitovirus,Mitovirus,Mitoviridae,ssRNA(+),2895,RefSeq,complete,,,1,"Japan:Hokkaido, Rankoshi",Japan,,Rhizophagus,,,,"Rhizophagus sp. RF1 mitovirus genomic RNA, complete genome"
NC_040657.1,DRR037362,"Urayama,S., Takaki,Y., Nunoura,T.",2019-02-12T00:00:00Z,,Diatom colony associated dsRNA virus 5,,Totiviridae,dsRNA,5252,RefSeq,complete,,,1,Japan:Tokyo bay,Japan,,,,2014-04-08,SAMD00034184,"Diatom colony associated dsRNA virus 5 genomic RNA, complete genome"
NC_040658.1,DRR037362,"Urayama,S., Takaki,Y., Nunoura,T.",2019-02-12T00:00:00Z,,Diatom colony associated dsRNA virus 6,,Totiviridae,dsRNA,4939,RefSeq,complete,,,1,Japan:Tokyo bay,Japan,,,,2014-04-08,SAMD00034184,"Diatom colony associated dsRNA virus 6 genomic RNA, complete genome"
NC_040659.1,DRR037362,"Urayama,S., Takaki,Y., Nunoura,T.",2019-02-12T00:00:00Z,,Diatom colony associated dsRNA virus 10,,Totiviridae,dsRNA,5082,RefSeq,complete,,,1,Japan:Tokyo bay,Japan,,,,2014-04-08,SAMD00034184,"Diatom colony associated dsRNA virus 10 genomic RNA, complete genome"
NC_040660.1,DRR037362,"Urayama,S., Takaki,Y., Nunoura,T.",2019-02-12T00:00:00Z,,Diatom colony associated dsRNA virus 11,,Totiviridae,dsRNA,5160,RefSeq,complete,,,1,Japan:Tokyo bay,Japan,,,,2014-04-08,SAMD00034184,"Diatom colony associated dsRNA virus 11 genomic RNA, complete genome"
NC_040661.1,DRR037362,"Urayama,S., Takaki,Y., Nunoura,T.",2019-02-12T00:00:00Z,,Diatom colony associated ssRNA virus 2,,Narnaviridae,ssRNA(+),4586,RefSeq,complete,,,1,Japan:Tokyo bay,Japan,,,,2014-04-08,SAMD00034184,"Diatom colony associated ssRNA virus 2 genomic RNA, complete genome"
NC_040662.1,,"Nibert,M.L., Pyle,J.D., Firth,A.E.",2019-02-12T00:00:00Z,,Capsicum annuum amalgavirus 1,,Amalgaviridae,dsRNA,3478,RefSeq,complete,,,1,,,,,,,,Capsicum annuum amalgavirus 1 strain CaAV1-CM334 genomic sequence
NC_040663.1,,"Nibert,M.L., Pyle,J.D., Firth,A.E.",2019-02-12T00:00:00Z,,Festuca pratensis amalgavirus 1,,Amalgaviridae,dsRNA,3412,RefSeq,complete,,,1,,,,,,,,Festuca pratensis amalgavirus 1 strain FpAV1-Laura genomic sequence
NC_040664.1,,"Dilcher,M., Faye,O., Weber,F., Koch,A., Sadegh,C., Weidmann,M., Sall,A.A.",2019-02-12T00:00:00Z,Ar Teh 157764,Zahedan zarhavirus,Zarhavirus,Rhabdoviridae,ssRNA(-),11230,RefSeq,complete,,,1,Iran,Iran,,Hyalomma anatolicum anatolicum,,2001,,"Zahedan rhabdovirus isolate Ar Teh 157764, complete genome"
NC_040669.1,,"Reuter,G., Boros,A., Pal,J., Kapusinszky,B., Delwart,E., Pankovics,P.",2019-02-12T00:00:00Z,,Riverside virus 1,,Rhabdoviridae,ssRNA(-),11713,RefSeq,complete,,,1,Hungary,Hungary,,Ochlerotatus sp.,pooled insects,2014,,"Riverside virus 1 strain RISV-Drava 1, complete genome"
NC_040670.1,,"Huang,Y., Zhang,J., An,X., Mi,Z., Sun,Q., Fan,H., Zhang,X.",2019-02-12T00:00:00Z,CTV_NJ3,Culex tritaeniorhynchus totivirus,,Totiviridae,dsRNA,7624,RefSeq,complete,,,,China,China,,Culex tritaeniorhynchus,,2010-05-01,,"Culex tritaeniorhynchus totivirus isolate CTV_NJ3, complete genome"
NC_040673.1,,"Pan,X., Shen,J., Lin,L., Yuan,X., Xu,Y., Yao,J., Yin,W.",2019-02-12T00:00:00Z,,Tremovirus B,Tremovirus,Picornaviridae,ssRNA(+),8145,RefSeq,complete,,,,China: Shangrao,China,,Pelodiscus sinensis,,2011-06-06,,"Pelodiscus sinensis picornavirus 1 strain CNSR2011, complete genome"
NC_040674.1,,"Luo,X.L., Lu,S., Jin,D., Yang,J., Wu,S.S., Xu,J., Luo,X., Xiong,Y., Pu,J.",2019-02-12T00:00:00Z,,Marmot norovirus,Norovirus,Caliciviridae,ssRNA(+),6453,RefSeq,complete,,,1,China,China,,Marmota himalayana,,2013,,"Marmot norovirus strain HT16, complete genome"
NC_040675.1,,"Dong,Y., Chao,J., Ren,G., Xu,P.",2019-02-12T00:00:00Z,,Nesidiocoris tenuis iflavirus 1,,Iflaviridae,ssRNA(+),10663,RefSeq,complete,,,,China,China,,,,2015-07-20,,"Nesidiocoris tenuis iflavirus 1 strain SD, complete genome"
NC_040678.1,,"Sasai,S., Tamura,K., Tojo,M., Herrero,M.-L., Hoshino,T., Ohki,S.T., Mochizuki,T.",2019-02-12T00:00:00Z,,Pythium polare RNA virus 2,,Totiviridae,dsRNA,5491,RefSeq,complete,,,,Norway,Norway,,Pythium polare,,,,"Pythium polare RNA virus 2 PpRV2-OPU1176 genomic RNA, nearly complete genome"
NC_040680.1,,"Liu,H., Wu,L., Nikolaeva,E., Peter,K., Liu,Z., Mollov,D., Cao,M., Li,R.",2019-02-12T00:00:00Z,PA8,Apple luteovirus 1,Luteovirus,Tombusviridae,ssRNA(+),6001,RefSeq,complete,,,1,USA,USA,,Malus pumila,,2016-06-15,,"Apple luteovirus 1 isolate PA8, complete genome"
NC_040682.1,,"Sadeghi,M., Popov,V., Guzman,H., Phan,T.G., Vasilakis,N., Tesh,R., Delwart,E.",2019-02-12T00:00:00Z,,Culex theileri flavivirus,Flavivirus,Flaviviridae,ssRNA(+),10280,RefSeq,complete,,,1,Indonesia,Indonesia,,Anopheles vagus,,1981-01-21,,"Culex theileri flavivirus, complete genome"
NC_040683.1,,"Niu,Y., Yuan,Y., Mao,J., Yang,Z., Cao,Q., Zhang,T., Wang,S., Liu,D.",2019-02-12T00:00:00Z,A,Penicillium digitatum narna-like virus 1,,Narnaviridae,ssRNA(+),1702,RefSeq,complete,,,1,China,China,,Penicillium digitatum,,2016-05-14,,"Penicillium digitatum narna-like virus 1, complete sequence"
NC_040684.1,,"Boros,A., Pankovics,P., Simmonds,P., Kiss,T., Phan,T.G., Delwart,E., Reuter,G.",2019-02-12T00:00:00Z,,Goose picornavirus 1,,Picornaviridae,ssRNA(+),8051,RefSeq,complete,,,1,Hungary,Hungary,,Anser albifrons,cloaca,2013,,"Goose picornavirus 1 strain goose/NLSZK2/HUN/2013, complete genome"
NC_040685.2,,"Salgado O,H., De La Torre A,R., Sanchez N,J., Pallas,V.",2019-02-12T00:00:00Z,Nopal_hec Mex,Opuntia virus 2,Tobamovirus,Virgaviridae,ssRNA(+),6453,RefSeq,complete,,,,Mexico,Mexico,,Opuntia ficus-indica,,2016-05,,"Opuntia virus 2 isolate Nopal_hec Mex, complete genome"
NC_040689.1,,"Goh,C.-J., Hahn,Y.",2019-02-12T00:00:00Z,Sdiv,Salvia divinorum RNA virus 1,,Betaflexiviridae,ssRNA(+),9214,RefSeq,complete,,,,USA,USA,,Salvia divinorum,,2016,,"Salvia divinorum RNA virus 1 isolate Sdiv, complete genome"
NC_040690.1,,"Lee,J.S., Goh,C.J., Park,D., Hahn,Y.",2019-02-12T00:00:00Z,Chia-AV1,Salvia hispanica RNA virus 1,,Amalgaviridae,dsRNA,3406,RefSeq,complete,,,1,India,India,,Salvia hispanica,,2013,,"Salvia hispanica RNA virus 1 isolate Chia-AV1, complete genome"
NC_040692.1,,"Muller,E., Ravel,S., Agret,C., Abrokwah,F., Dzahini-Obiatey,H., Galyuon,I., Kouakou,K., Jeyaseelan,E.C., Allainguillaume,J., Wetten,A.",2019-02-12T00:00:00Z,GWR198E-13,Cacao swollen shoot CE virus,Badnavirus,Caulimoviridae,dsDNA-RT,7131,RefSeq,complete,,,1,Ghana,Ghana,,Theobroma cacao,plant leaf,2013,,"Cacao swollen shoot CE virus isolate GWR198E-13, complete genome"
NC_040693.1,,"Muller,E., Ravel,S., Agret,C., Abrokwah,F., Dzahini-Obiatey,H., Galyuon,I., Kouakou,K., Jeyaseelan,E.C., Allainguillaume,J., Wetten,A.",2019-02-12T00:00:00Z,Gha53-15,Cacao swollen shoot Ghana R virus,Badnavirus,Caulimoviridae,dsDNA-RT,6985,RefSeq,complete,,,1,Ghana,Ghana,,Theobroma cacao,plant leaf,2015,,"Cacao swollen shoot Ghana R virus isolate Gha53-15, complete genome"
NC_040702.1,,"Turina,M., Ghignone,S., Astolfi,N., Silvestri,A., Bonfante,P., Lanfranco,L.",2019-02-12T00:00:00Z,GmMV1-BEG34,Gigaspora margarita mitovirus 1,Mitovirus,Mitoviridae,ssRNA(+),3243,RefSeq,complete,,,1,Italy,Italy,,Gigaspora margarita,,2015-10,,"Gigaspora margarita mitovirus 1 isolate GmMV1-BEG34, complete genome"
NC_040703.1,,"Wang,R., Dong,J., Wang,Z., Zhou,T., Li,Y., Ding,W., Yue,J.",2019-02-12T00:00:00Z,,Chrysanthemum virus R,Carlavirus,Betaflexiviridae,ssRNA(+),8890,RefSeq,complete,,,1,China,China,,Chrysanthemum,,2017-02,,"Chrysanthemum virus R strain BJ, complete genome"
NC_040704.1,,"Zhang,P., Wang,X., Massart,S.",2019-02-12T00:00:00Z,,Sogatella furcifera totivirus 2,,Totiviridae,dsRNA,6303,RefSeq,complete,,,,China,China,,Sogatella furcifera,,2016,,"Sogatella furcifera totivirus 2, complete genome"
NC_040710.1,,"Wu,N., Zhang,P., Liu,W., Wang,X.",2019-02-12T00:00:00Z,Guangdong,Sogatella furcifera hepe-like virus,,Hepeviridae,ssRNA(+),7312,RefSeq,complete,,,1,China,China,,,,2015,,"Sogatella furcifera hepe-like virus isolate Guangdong, complete genome"
NC_040711.1,,"Debat,H.J.",2019-02-12T00:00:00Z,EK,Aplysia californica nido-like virus,,,ssRNA(+),35906,RefSeq,complete,,,,USA,USA,,,,2011-06-04,,"Aplysia californica nido-like virus isolate EK, complete genome"
NC_040712.1,,"Kidanemariam,D.B., Dale,J.L., Harding,R.M., James,A.P., Sukal,A.C.",2019-02-12T00:00:00Z,DNUaV-WSM01_DN,Dioscorea nummularia associated virus,Dioscovirus,Caulimoviridae,dsDNA-RT,8139,RefSeq,complete,,,,Samoa,Samoa,,Dioscorea nummularia,,2016-02,,"Dioscorea nummularia-associated virus, complete genome"
NC_040713.1,,,2019-02-12T00:00:00Z,B17,Elderberry aureusvirus 1,Aureusvirus,Tombusviridae,ssRNA(+),1134,RefSeq,complete,,,,Czech Republic: Central Moravia,Czech Republic,,Sambucus nigra,plant leaf,2015-09-13,,"Elderberry aureusvirus 1 isolate B17 coat protein (CP) gene, complete cds"
NC_040716.1,,"Sadeghi,M., Altan,E., Deng,X., Barker,C.M., Fang,Y., Coffey,L.L., Delwart,E., Coffey,L.",2019-02-12T00:00:00Z,,Culex Iflavi-like virus 4,,Iflaviridae,ssRNA(+),9698,RefSeq,complete,,,1,USA,USA,,Culex,,2016-07-02,,"Culex Iflavi-like virus 4 strain CIVL4/Fresno, complete genome"
NC_040717.1,,"Sadeghi,M., Altan,E., Deng,X., Barker,C.M., Fang,Y., Coffey,L.L., Delwart,E., Coffey,L.",2019-02-12T00:00:00Z,,Culex Tetra-like virus,,Alphatetraviridae,ssRNA(+),2066,RefSeq,complete,,,1,USA,USA,,Culex,,2016-07-02,,"Culex Tetra-like virus strain CTetVL/Riverside, complete genome"
NC_040719.1,,"Aghazadeh,M., Shi,M., Barrs,V.R., McLuckie,A.J., Lindsay,S., Jameson,B., Hampson,B., Holmes,E.C., Beatty,J.A.",2019-02-12T00:00:00Z,Sydney2016,Domestic cat hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,dsDNA-RT,3187,RefSeq,complete,,,,Australia,Australia,,Felis catus,,2016-04-04,,"Domestic cat hepadnavirus isolate Sydney2016, complete genome"
NC_040722.1,,"Koloniuk,I., Thekke-Veetil,T., Reynard,J.S., Mavric Plesko,I., Pribylova,J., Brodard,J., Kellenberger,I., Sarkisova,T., Spak,J., Lamovsek,J., Massart,S., Ho,T., Postman,J.D., Tzanetakis,I.E., Reynard,J.-S.",2019-02-12T00:00:00Z,BC28074,Blackcurrant leafroll-associated virus 1,Closterovirus,Closteroviridae,ssRNA(+),17141,RefSeq,complete,,,1,Switzerland: Nyon,Switzerland,,Ribes nigrum,,2017,,"Blackcurrant leafroll-associated virus 1, complete genome"
NC_040723.1,,"Debat,H.J., Ribeiro,J.M.C.",2019-02-12T00:00:00Z,AnEVT,Culex pipiens-associated Tunisia virus,,,ssRNA(+),10910,RefSeq,complete,,,,Viet Nam,Viet Nam,,Anopheles epiroticus,,2014-01-23,,"Culex pipiens associated Tunisia virus isolate AnEVT, complete genome"
NC_040724.1,,"Wang,H., Liu,Y., Liu,W., Cao,M., Wang,X., Wang,X.F., Cao,M.J.",2019-02-12T00:00:00Z,,Psammotettix alienus iflavirus 1,Iflavirus,Iflaviridae,ssRNA(+),10836,RefSeq,complete,,,1,China,China,,Psammotettix alienus,,2017-04,,"Psammotettix alienus iflavirus 1, complete genome"
NC_040725.1,,"Hang,J., Sanborn,M.A., Fung,C.K., Figueroa,K.L., Kim,H.C., Klein,T.A., Jarman,R.G.",2019-02-12T00:00:00Z,,Yongsan tombus-like virus 1,,Tombusviridae,ssRNA(+),4554,RefSeq,complete,,,,South Korea: Yongsan,South Korea,,,,2016-07-22,,"Yongsan tombus-like virus 1 strain A16.1368/ROK/2016 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_040726.1,,"Neupane,A., Marzano,S.-Y.",2019-02-12T00:00:00Z,,Rhizophagus diaphanum mitovirus 2,Mitovirus,Mitoviridae,ssRNA(+),4382,RefSeq,complete,,,,Canada,Canada,,Oehlia diaphana,,2017-04,,"Rhizophagus diaphanum mitovirus 2 RNA-dependent RNA polymerase gene, complete cds"
NC_040730.1,,"Ejiri,H., Lim,C.K., Isawa,H., Fujita,R., Murota,K., Sato,T., Kobayashi,D., Kan,M., Hattori,M., Kimura,T., Yamaguchi,Y., Takayama-Ito,M., Horiya,M., Posadas-Herrera,G., Minami,S., Kuwata,R., Shimoda,H., Maeda,K., Katayama,Y., Mizutani,T., Saijo,M., Kaku,K., Shinomiya,H., Sawabe,K., Isawa,I.",2019-02-12T00:00:00Z,,Oz virus,Thogotovirus,Orthomyxoviridae,ssRNA(-),2406,RefSeq,complete,,1,1,Japan,Japan,,Amblyomma testudinarium,,2013-07-24,,"Oz virus viral cRNA, segment 1, complete sequence, strain: EH8"
NC_040731.1,,"Ejiri,H., Lim,C.K., Isawa,H., Fujita,R., Murota,K., Sato,T., Kobayashi,D., Kan,M., Hattori,M., Kimura,T., Yamaguchi,Y., Takayama-Ito,M., Horiya,M., Posadas-Herrera,G., Minami,S., Kuwata,R., Shimoda,H., Maeda,K., Katayama,Y., Mizutani,T., Saijo,M., Kaku,K., Shinomiya,H., Sawabe,K., Isawa,I.",2019-02-12T00:00:00Z,,Oz virus,Thogotovirus,Orthomyxoviridae,ssRNA(-),2225,RefSeq,complete,,2,1,Japan,Japan,,Amblyomma testudinarium,,2013-07-24,,"Oz virus viral cRNA, segment 2, complete sequence, strain: EH8"
NC_040732.1,,"Ejiri,H., Lim,C.K., Isawa,H., Fujita,R., Murota,K., Sato,T., Kobayashi,D., Kan,M., Hattori,M., Kimura,T., Yamaguchi,Y., Takayama-Ito,M., Horiya,M., Posadas-Herrera,G., Minami,S., Kuwata,R., Shimoda,H., Maeda,K., Katayama,Y., Mizutani,T., Saijo,M., Kaku,K., Shinomiya,H., Sawabe,K., Isawa,I.",2019-02-12T00:00:00Z,,Oz virus,Thogotovirus,Orthomyxoviridae,ssRNA(-),1975,RefSeq,complete,,3,1,Japan,Japan,,Amblyomma testudinarium,,2013-07-24,,"Oz virus viral cRNA, segment 3, complete sequence, strain: EH8"
NC_040733.1,,"Ejiri,H., Lim,C.K., Isawa,H., Fujita,R., Murota,K., Sato,T., Kobayashi,D., Kan,M., Hattori,M., Kimura,T., Yamaguchi,Y., Takayama-Ito,M., Horiya,M., Posadas-Herrera,G., Minami,S., Kuwata,R., Shimoda,H., Maeda,K., Katayama,Y., Mizutani,T., Saijo,M., Kaku,K., Shinomiya,H., Sawabe,K., Isawa,I.",2019-02-12T00:00:00Z,,Oz virus,Thogotovirus,Orthomyxoviridae,ssRNA(-),1482,RefSeq,complete,,5,1,Japan,Japan,,Amblyomma testudinarium,,2013-07-24,,"Oz virus viral cRNA, segment 5, complete sequence, strain: EH8"
NC_040734.1,,"Ejiri,H., Lim,C.K., Isawa,H., Fujita,R., Murota,K., Sato,T., Kobayashi,D., Kan,M., Hattori,M., Kimura,T., Yamaguchi,Y., Takayama-Ito,M., Horiya,M., Posadas-Herrera,G., Minami,S., Kuwata,R., Shimoda,H., Maeda,K., Katayama,Y., Mizutani,T., Saijo,M., Kaku,K., Shinomiya,H., Sawabe,K., Isawa,I.",2019-02-12T00:00:00Z,,Oz virus,Thogotovirus,Orthomyxoviridae,ssRNA(-),960,RefSeq,complete,,6,1,Japan,Japan,,Amblyomma testudinarium,,2013-07-24,,"Oz virus viral cRNA, segment 6, complete sequence, strain: EH8"
NC_040735.1,,"Ejiri,H., Lim,C.K., Isawa,H., Fujita,R., Murota,K., Sato,T., Kobayashi,D., Kan,M., Hattori,M., Kimura,T., Yamaguchi,Y., Takayama-Ito,M., Horiya,M., Posadas-Herrera,G., Minami,S., Kuwata,R., Shimoda,H., Maeda,K., Katayama,Y., Mizutani,T., Saijo,M., Kaku,K., Shinomiya,H., Sawabe,K., Isawa,I.",2019-02-12T00:00:00Z,,Oz virus,Thogotovirus,Orthomyxoviridae,ssRNA(-),1597,RefSeq,complete,,4,1,Japan,Japan,,Amblyomma testudinarium,,2013-07-24,,"Oz virus viral cRNA, segment 4, complete sequence, strain: EH8"
NC_040736.1,,"Moriyama,H., Okada,R., Ichinose,S., Takeshita,K., Urayama,S., Fukuhara,T., Komatsu,K., Arie,T., Ishihara,A., Egusa,M., Kodama,M.",2019-02-12T00:00:00Z,,Alternaria alternata chrysovirus,Betachrysovirus,Chrysoviridae,dsRNA,2785,RefSeq,complete,,RNA 3,,Japan:Aichi,Japan,,Alternaria alternata,,1998-09-15,,"Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA3, complete sequence"
NC_040737.1,,"Moriyama,H., Okada,R., Ichinose,S., Takeshita,K., Urayama,S., Fukuhara,T., Komatsu,K., Arie,T., Ishihara,A., Egusa,M., Kodama,M.",2019-02-12T00:00:00Z,,Alternaria alternata chrysovirus,Betachrysovirus,Chrysoviridae,dsRNA,836,RefSeq,complete,,RNA 5,,Japan:Aichi,Japan,,Alternaria alternata,,1998-09-15,,"Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA5, complete sequence"
NC_040738.1,,"Moriyama,H., Okada,R., Ichinose,S., Takeshita,K., Urayama,S., Fukuhara,T., Komatsu,K., Arie,T., Ishihara,A., Egusa,M., Kodama,M.",2019-02-12T00:00:00Z,,Alternaria alternata chrysovirus,Betachrysovirus,Chrysoviridae,dsRNA,3647,RefSeq,complete,,RNA 1,,Japan:Aichi,Japan,,Alternaria alternata,,1998-09-15,,"Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA1, complete sequence"
NC_040739.1,,"Moriyama,H., Okada,R., Ichinose,S., Takeshita,K., Urayama,S., Fukuhara,T., Komatsu,K., Arie,T., Ishihara,A., Egusa,M., Kodama,M.",2019-02-12T00:00:00Z,,Alternaria alternata chrysovirus,Betachrysovirus,Chrysoviridae,dsRNA,2857,RefSeq,complete,,RNA 2,,Japan:Aichi,Japan,,Alternaria alternata,,1998-09-15,,"Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA2, complete sequence"
NC_040740.1,,"Moriyama,H., Okada,R., Ichinose,S., Takeshita,K., Urayama,S., Fukuhara,T., Komatsu,K., Arie,T., Ishihara,A., Egusa,M., Kodama,M.",2019-02-12T00:00:00Z,,Alternaria alternata chrysovirus,Betachrysovirus,Chrysoviridae,dsRNA,2772,RefSeq,complete,,RNA 4,,Japan:Aichi,Japan,,Alternaria alternata,,1998-09-15,,"Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA4, complete sequence"
NC_040741.1,,,2019-02-12T00:00:00Z,Als-2000,Alstroemeria yellow spot orthotospovirus,Orthotospovirus,Tospoviridae,ssRNA(+/-),2734,RefSeq,complete,,S,,Netherlands,Netherlands,,Alstroemeria,,2000,,"Alstroemeria yellow spot virus isolate Als-2000 segment S, complete sequence"
NC_040742.1,,,2019-02-12T00:00:00Z,Als-2000,Alstroemeria yellow spot orthotospovirus,Orthotospovirus,Tospoviridae,ssRNA(+/-),8865,RefSeq,complete,,L,,Netherlands,Netherlands,,Alstroemeria,,2000,,"Alstroemeria yellow spot virus isolate Als-2000 segment L, complete sequence"
NC_040743.1,,,2019-02-12T00:00:00Z,Als-2000,Alstroemeria yellow spot orthotospovirus,Orthotospovirus,Tospoviridae,ssRNA(+/-),4797,RefSeq,complete,,M,,Netherlands,Netherlands,,Alstroemeria,,2000,,"Alstroemeria yellow spot virus isolate Als-2000 segment M, complete sequence"
NC_040752.1,,"Jamnikar Ciglenecki,U., Kuhar,U.",2019-02-12T00:00:00Z,,Picobirnavirus sp.,Picobirnavirus,Picobirnaviridae,dsRNA,2576,RefSeq,complete,,1,,Slovenia,Slovenia,,Capreolus capreolus,,2014,,"Picobirnavirus sp. strain PBV/roe_deer/SLO/D38-14/2014 segment 1, complete sequence"
NC_040753.1,,"Jamnikar Ciglenecki,U., Kuhar,U.",2019-02-12T00:00:00Z,,Picobirnavirus sp.,Picobirnavirus,Picobirnaviridae,dsRNA,1721,RefSeq,complete,,2,,Slovenia,Slovenia,,Capreolus capreolus,,2014,,"Picobirnavirus sp. strain PBV/roe_deer/SLO/D38-14/2014 segment 2, complete sequence"
NC_040754.1,,"Sakuna,K., Elliman,J., Tzamouzaki,A., Owens,L., Elliman,J.R.",2019-02-12T00:00:00Z,A14-49.4,Athtab bunya-like virus,,,RNA,6868,RefSeq,complete,,L,1,Australia,Australia,,Cherax quadricarinatus,muscle,2014-09-22,,"Athtab bunya-like virus isolate A14-49.4 RNA-dependent RNA polymerase gene, complete cds"
NC_040755.1,,"Sakuna,K., Elliman,J., Tzamouzaki,A., Owens,L., Elliman,J.R.",2019-02-12T00:00:00Z,A14-49.4,Athtab bunya-like virus,,,RNA,3537,RefSeq,complete,,M,1,Australia,Australia,,Cherax quadricarinatus,muscle,2014-09-22,,"Athtab bunya-like virus isolate A14-49.4 glycoprotein N and glycoprotein C genes, complete cds"
NC_040756.1,,"Zoll,J., Verweij,P.E., Melchers,W.J.G.",2019-02-12T00:00:00Z,V145-13,Aspergillus fumigatus partitivirus 2,,Partitiviridae,dsRNA,1638,RefSeq,complete,,2,,Netherlands,Netherlands,,Aspergillus fumigatus,,2017-02-04,,"Aspergillus fumigatus partitivirus 2 segment 2, complete sequence"
NC_040757.1,,"Zoll,J., Verweij,P.E., Melchers,W.J.G.",2019-02-12T00:00:00Z,V145-13,Aspergillus fumigatus partitivirus 2,,Partitiviridae,dsRNA,1822,RefSeq,complete,,1,,Netherlands,Netherlands,,Aspergillus fumigatus,,2017-02-04,,"Aspergillus fumigatus partitivirus 2 segment 1, complete sequence"
NC_040758.1,,,2019-02-12T00:00:00Z,,Yongsan bunyavirus 1,,,RNA,1860,RefSeq,complete,,S,,South Korea: Yongsan,South Korea,,Aedes vexans nipponii,,2016-05-26,,"Yongsan bunyavirus 1 strain YBV1/16-0052/ROK/2016 nucleocapsid protein gene, complete cds"
NC_040759.1,,,2019-02-12T00:00:00Z,,Yongsan bunyavirus 1,,,RNA,6464,RefSeq,complete,,L,,South Korea: Yongsan,South Korea,,Aedes vexans nipponii,,2016-05-26,,"Yongsan bunyavirus 1 strain YBV1/16-0052/ROK/2016 RNA-dependent RNA polymerase gene, complete cds"
NC_040760.1,,"Valente,J.B., Stempkowisk,L.A., Farias,M., Pereira,F.S., Casa,R.T., Junior,A.N., Fajardo,T.M., Kuhnem,P.R., Lau,D., Silva,F.N.",2019-02-12T00:00:00Z,WhSMV:BR:Everest,Wheat stripe mosaic virus,,Benyviridae,ssRNA(+),6597,RefSeq,complete,,RNA 1,,Brazil,Brazil,,Triticum aestivum,,2016,,"Wheat stripe mosaic virus isolate WhSMV:BR:Everest segment RNA 1, complete sequence"
NC_040761.1,,"Valente,J.B., Stempkowisk,L.A., Farias,M., Pereira,F.S., Casa,R.T., Junior,A.N., Fajardo,T.M., Kuhnem,P.R., Lau,D., Silva,F.N.",2019-02-12T00:00:00Z,WhSMV:BR:Everest,Wheat stripe mosaic virus,,Benyviridae,ssRNA(+),4892,RefSeq,complete,,RNA 2,,Brazil,Brazil,,Triticum aestivum,,2016,,"Wheat stripe mosaic virus isolate WhSMV:BR:Everest segment RNA 2, complete sequence"
NC_040762.1,,,2019-02-12T00:00:00Z,,Apore mammarenavirus,Mammarenavirus,Arenaviridae,ssRNA(+/-),3400,RefSeq,complete,,S,,"Brazil: Cassilandia, Mato Grosso do Sul",Brazil,,Oligoryzomys mattogrossae,,2008-10,,"Apore mammarenavirus strain LBCE 12071 segment S, complete sequence"
NC_040763.1,,,2019-02-12T00:00:00Z,,Apore mammarenavirus,Mammarenavirus,Arenaviridae,ssRNA(+/-),7217,RefSeq,complete,,L,,"Brazil: Cassilandia, Mato Grosso do Sul",Brazil,,Oligoryzomys mattogrossae,,2008-10,,"Apore mammarenavirus strain LBCE 12071 segment L, complete sequence"
