Accession,Species,Genus,Family
NC_062736.1,Chalconvirus acg2014e,Chalconvirus,Kyanoviridae
NC_077166.1,Bat associated cyclovirus 17,Cyclovirus,Circoviridae
NC_011310.1,Betapolyomavirus myolucifugus,Betapolyomavirus,Polyomaviridae
NC_008292.1,Passiflora latent virus,Carlavirus,Betaflexiviridae
NC_073956.1,Halcalevirus arvivivens,Halcalevirus,Fiersviridae
NC_038481.1,Gemycircularvirus mosqi1,Gemycircularvirus,Genomoviridae
NC_038390.1,Circovirus morcego,Circovirus,Circoviridae
NC_003020.1,Cypovirus 1,Cypovirus,Spinareoviridae
NC_016769.1,Aichivirus C,Kobuvirus,Picornaviridae
NC_015159.1,Chatterjeevirus ICP3,Chatterjeevirus,Autographiviridae
NC_028243.1,Mivirus suffolkense,Mivirus,Chuviridae
NC_028477.1,Ustilaginoidea virens RNA virus 5,Victorivirus,Totiviridae
NC_003647.1,Milk vetch dwarf alphasatellite 3,Milvetsatellite,Alphasatellitidae
NC_038407.1,Cyclovirus sokwe,Cyclovirus,Circoviridae
NC_038848.1,Cilevirus colombiaense,Cilevirus,Kitaviridae
NC_009898.1,Paramecium bursaria Chlorella virus NY2A,Chlorovirus,Phycodnaviridae
NC_078361.1,Feravirus neuropterus,Feravirus,Phasmaviridae
NC_074777.1,Orthoflavivirus phnompenhense,Orthoflavivirus,Flaviviridae
NC_007150.1,Lambdapapillomavirus 4,Lambdapapillomavirus,Papillomaviridae
NC_043037.1,Orthobunyavirus turlockense,Orthobunyavirus,Peribunyaviridae
NC_043074.1,Orthohantavirus nigrorivense,Orthohantavirus,Hantaviridae
NC_007459.1,Luffa puckering and leaf distortion-associated DNA beta,Betasatellite,Tolecusatellitidae
NC_032783.1,Hubramonavirus hubeiense,Hubramonavirus,Mymonaviridae
NC_008930.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_054908.1,Tequatrovirus ecomdalca,Tequatrovirus,Straboviridae
NC_041838.1,Nitunavirus SPG24,Nitunavirus,Herelleviridae
NC_008870.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_055614.1,Parsley severe stunt associated virus,Nanovirus,Nanoviridae
NC_044945.1,African swine fever virus,Asfivirus,Asfarviridae
NC_002558.1,Cypovirus 15,Cypovirus,Spinareoviridae
NC_001954.1,Infulavirus If1,Infulavirus,Inoviridae
NC_078096.1,Uukuvirus dabieshanense,Uukuvirus,Phenuiviridae
NC_005892.1,Sulfolobus turreted icosahedral virus 1,Alphaturrivirus,Turriviridae
NC_055327.1,Phlebovirus chagresense,Phlebovirus,Phenuiviridae
NC_070657.1,Streptococcus phage CHPC1027,Moineauvirus,Aliceevansviridae
NC_004044.1,Tomato yellow leaf curl China virus,Begomovirus,Geminiviridae
NC_043637.1,Orthobunyavirus angeloense,Orthobunyavirus,Peribunyaviridae
NC_003785.2,Sadwavirus citri,Sadwavirus,Secoviridae
NC_075425.1,Rosavirus C,Rosavirus,Picornaviridae
NC_042066.1,Tlsvirus SP126,Tlsvirus,Drexlerviridae
NC_020867.1,Kajamvirus SRIP1,Kajamvirus,Autographiviridae
NC_078293.1,Mammarenavirus kitaleense,Mammarenavirus,Arenaviridae
NC_076715.1,Capillovirus TRV1,Capillovirus,Betaflexiviridae
NC_008887.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_037570.1,Maize rough dwarf virus,Fijivirus,Spinareoviridae
NC_008495.1,Desmodium leaf distortion virus,Begomovirus,Geminiviridae
NC_018382.1,Chirohepevirus eptesici,Chirohepevirus,Hepeviridae
NC_038796.1,Jacquemontia mosaic Yucatan virus,Begomovirus,Geminiviridae
NC_049456.2,Zurivirus zuri,Zurivirus,Schitoviridae
NC_010707.1,Thottimvirus thottapalayamense,Thottimvirus,Hantaviridae
NC_038424.1,Orthohantavirus moroense,Orthohantavirus,Hantaviridae
AC_000011.1,Human mastadenovirus E,Mastadenovirus,Adenoviridae
NC_055491.1,Yam chlorotic necrosis virus,Macluravirus,Potyviridae
NC_016572.1,Cleome leaf crumple virus,Begomovirus,Geminiviridae
NC_076527.1,Duamitovirus casa1,Duamitovirus,Mitoviridae
NC_043439.1,Orthonairovirus buranaense,Orthonairovirus,Nairoviridae
NC_074119.1,Thobivirus asiohabitans,Thobivirus,Fiersviridae
NC_030462.1,Badnavirus alphamaculaflavicannae,Badnavirus,Caulimoviridae
NC_038779.1,Alphachrysovirus cryphonectriae,Alphachrysovirus,Chrysoviridae
NC_031287.1,Wenrivirus penaei,Wenrivirus,Phenuiviridae
NC_073952.1,Gmuhndevirus pelovivens,Gmuhndevirus,Fiersviridae
NC_049959.1,Claudivirus QCM11,Claudivirus,Salasmaviridae
NC_078640.1,Quaranjavirus tyulekense,Quaranjavirus,Orthomyxoviridae
NC_070675.1,Streptococcus phage CHPC877,Moineauvirus,Aliceevansviridae
NC_055214.1,Orthophasmavirus culicis,Orthophasmavirus,Phasmaviridae
NC_055315.1,Phlebovirus turunaense,Phlebovirus,Phenuiviridae
NC_079096.1,Vitis emaravirus,Emaravirus,Fimoviridae
NC_003828.1,Tomato yellow leaf curl Sardinia virus,Begomovirus,Geminiviridae
NC_074469.1,Pujohnavirus geoadaptatum,Pujohnavirus,Steitzviridae
NC_030839.1,Alefpapillomavirus 1,Alefpapillomavirus,Papillomaviridae
NC_043309.1,Bracoviriform facetosae,Bracoviriform,Polydnaviriformidae
NC_055272.1,Rotavirus J,Rotavirus,Sedoreoviridae
NC_003900.1,Aura virus,Alphavirus,Togaviridae
NC_022772.1,Kuttervirus marshall,Kuttervirus,Ackermannviridae
NC_014464.1,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae
NC_005136.1,Oat necrotic mottle virus,Tritimovirus,Potyviridae
NC_003412.1,Euprosterna elaeasa virus,Alphapermutotetravirus,Permutotetraviridae
NC_028093.1,Ostreococcus lucimarinus virus 7,Prasinovirus,Phycodnaviridae
NC_078067.1,Bandavirus albatrossense,Bandavirus,Phenuiviridae
NC_008971.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_004777.1,Teseptimavirus YpPY,Teseptimavirus,Autographiviridae
NC_005897.1,Mammarenavirus piritalense,Mammarenavirus,Arenaviridae
NC_043208.1,Frijoles phlebovirus,Phlebovirus,Phenuiviridae
NC_040729.1,Snake deltavirus F18-5,Deltavirus,Kolmioviridae
NC_074545.1,Weheuvirus terrihabitans,Weheuvirus,Steitzviridae
NC_003301.1,Cystovirus phi8,Cystovirus,Cystoviridae
NC_077028.1,Iltovirus psittacidalpha5,Iltovirus,Orthoherpesviridae
NC_078766.1,Sadwavirus lactucae,Sadwavirus,Secoviridae
NC_032543.1,Berhavirus beihaiense,Berhavirus,Nyamiviridae
NC_049839.1,Webervirus sweeny,Webervirus,Drexlerviridae
NC_010835.1,Tomato common mosaic virus,Begomovirus,Geminiviridae
NC_048158.1,Betapleolipovirus HRPV11,Betapleolipovirus,Pleolipoviridae
NC_047733.1,Neptunevirus srim18,Neptunevirus,Kyanoviridae
NC_027550.1,Chenuda virus,Orbivirus,Sedoreoviridae
NC_020807.1,Lyssavirus lagos,Lyssavirus,Rhabdoviridae
NC_042039.1,Tequatrovirus sf22,Tequatrovirus,Straboviridae
NC_018860.1,Tsarbombavirus BCP78,Tsarbombavirus,Herelleviridae
NC_025385.1,Lyssavirus khujand,Lyssavirus,Rhabdoviridae
NC_079048.1,Watermelon crinkle leaf-associated virus 1,Coguvirus,Phenuiviridae
NC_038870.1,Telnavirus tellinae,Telnavirus,Birnaviridae
NC_007357.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_031008.1,Rosenblumvirus SLPW,Rosenblumvirus,Rountreeviridae
NC_022771.1,Nitunavirus grass,Nitunavirus,Herelleviridae
NC_040537.1,Rice latent virus 2,Mastrevirus,Geminiviridae
NC_033848.1,Phlebovirus taparaense,Phlebovirus,Phenuiviridae
NC_008906.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_076495.1,Yam asymptomatic virus 1,Ampelovirus,Closteroviridae
NC_010952.1,Macroptilium golden mosaic virus,Begomovirus,Geminiviridae
NC_016570.1,Kuttervirus CBA120,Kuttervirus,Ackermannviridae
NC_006261.1,Dependoparvovirus primate1,Dependoparvovirus,Parvoviridae
NC_062777.1,Junduvirus copri,Junduvirus,Crevaviridae
NC_030865.1,Fusarium poae narnavirus 1,Narnavirus,Narnaviridae
NC_038862.1,Nepovirus cynarae,Nepovirus,Secoviridae
NC_055220.1,Betachrysovirus fugramineari,Betachrysovirus,Chrysoviridae
NC_004205.1,Kadipiro virus,Seadornavirus,Sedoreoviridae
NC_055771.1,Foxborovirus emianna,Foxborovirus,Zierdtviridae
NC_047999.1,Epseptimavirus SH9,Epseptimavirus,Demerecviridae
NC_023304.1,Black medic leaf roll virus,Nanovirus,Nanoviridae
NC_055630.1,Betachrysovirus neofusicocci,Betachrysovirus,Chrysoviridae
NC_077728.1,Maize rough dwarf virus,Fijivirus,Spinareoviridae
NC_043313.1,Bracoviriform facetosae,Bracoviriform,Polydnaviriformidae
NC_021484.1,Maize yellow dwarf virus RMV,Polerovirus,Solemoviridae
NC_018402.1,Amazon lily mild mottle virus,Anulavirus,Bromoviridae
NC_026824.2,Rotavirus I,Rotavirus,Sedoreoviridae
NC_013413.1,Tomato leaf curl Sulawesi virus,Begomovirus,Geminiviridae
NC_077025.1,Alphabaculovirus alterchrincludentis,Alphabaculovirus,Baculoviridae
NC_074517.1,Weheuvirus chthonocola,Weheuvirus,Steitzviridae
NC_029311.1,Simplexvirus leporidalpha4,Simplexvirus,Orthoherpesviridae
NC_004906.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_074260.1,Bahnicevirus soladaptatum,Bahnicevirus,Steitzviridae
NC_038774.1,Rice stripe necrosis virus,Benyvirus,Benyviridae
NC_003019.1,Cypovirus 1,Cypovirus,Spinareoviridae
NC_043685.1,Nepovirus italiaense,Nepovirus,Secoviridae
NC_047928.1,Betapleolipovirus HHPV3,Betapleolipovirus,Pleolipoviridae
NC_016144.1,Cuevavirus lloviuense,Cuevavirus,Filoviridae
NC_014903.1,Rhynchosia yellow mosaic India virus,Begomovirus,Geminiviridae
NC_077946.1,Orthobunyavirus squalofluvii,Orthobunyavirus,Peribunyaviridae
NC_038784.1,Alphachrysovirus verticillii,Alphachrysovirus,Chrysoviridae
NC_001583.1,Alphapapillomavirus 5,Alphapapillomavirus,Papillomaviridae
NC_027387.1,Teseptimavirus CICC80001,Teseptimavirus,Autographiviridae
NC_003706.1,Eyach coltivirus,Coltivirus,Spinareoviridae
NC_003025.1,Cypovirus 1,Cypovirus,Spinareoviridae
NC_032544.1,Berhavirus radialis,Berhavirus,Nyamiviridae
NC_041912.1,Aqualcavirus P14,Aqualcavirus,Autographiviridae
NC_003652.1,Nilaparvata lugens reovirus,Fijivirus,Spinareoviridae
NC_078078.1,Phlebovirus napoliense,Phlebovirus,Phenuiviridae
NC_038440.1,Chenopodium leaf curl virus,Begomovirus,Geminiviridae
NC_047752.1,Aptresvirus AP3,Aptresvirus,Peduoviridae
NC_012136.1,Gayfeather mild mottle virus,Cucumovirus,Bromoviridae
NC_007823.1,Alphatrevirus NC28,Alphatrevirus,Microviridae
NC_003200.1,Cotton leaf curl betasatellite,Betasatellite,Tolecusatellitidae
NC_028820.1,Tegunavirus yenmtg1,Tegunavirus,Straboviridae
NC_025737.1,Gemycircularvirus geras3,Gemycircularvirus,Genomoviridae
NC_004168.1,Aquabirnavirus ascitae,Aquabirnavirus,Birnaviridae
NC_001654.1,Jembrana disease virus,Lentivirus,Retroviridae
NC_016993.1,Magpie-robin coronavirus HKU18,Deltacoronavirus,Coronaviridae
NC_008931.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_022625.1,Mobuck virus,Orbivirus,Sedoreoviridae
NC_043247.1,Feldmannia irregularis virus a,Phaeovirus,Phycodnaviridae
NC_008030.1,Nile crocodilepox virus,Crocodylidpoxvirus,Poxviridae
NC_043135.1,Alstroemeria mosaic virus,Potyvirus,Potyviridae
NC_055639.1,Actinovirus bernense,Actinovirus,Hantaviridae
NC_078097.1,Picobirnavirus Equ3,Picobirnavirus,Picobirnaviridae
NC_043304.1,Bracoviriform marginiventris,Bracoviriform,Polydnaviriformidae
NC_043691.1,Orthobunyavirus patoisense,Orthobunyavirus,Peribunyaviridae
NC_078768.1,Thogotovirus sinuense,Thogotovirus,Orthomyxoviridae
NC_028146.1,Comovirus rugomusivum,Comovirus,Secoviridae
NC_043562.1,Orthobunyavirus leanyerense,Orthobunyavirus,Peribunyaviridae
NC_007360.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_078375.1,Emaravirus parkinsoniae,Emaravirus,Fimoviridae
NC_008522.1,Circovirus finch,Circovirus,Circoviridae
NC_038934.1,Tenuivirus echinochloae,Tenuivirus,Phenuiviridae
NC_030654.1,Fusarium deltaflexivirus 1,Deltaflexivirus,Deltaflexiviridae
NC_043576.1,Orthobunyavirus jatobalense,Orthobunyavirus,Peribunyaviridae
NC_001354.1,Nupapillomavirus 1,Nupapillomavirus,Papillomaviridae
NC_076145.1,Sigmavirus sturtevanti,Sigmavirus,Rhabdoviridae
NC_076603.1,Foveavirus ChVB,Foveavirus,Betaflexiviridae
NC_015395.1,Hardenbergia virus A,Divavirus,Betaflexiviridae
NC_012486.1,Gammapapillomavirus 8,Gammapapillomavirus,Papillomaviridae
NC_038623.1,Warrego virus,Orbivirus,Sedoreoviridae
NC_038607.1,Orungo virus,Orbivirus,Sedoreoviridae
NC_018716.1,Dalechampia chlorotic mosaic virus,Begomovirus,Geminiviridae
NC_048805.1,Yonseivirus soft,Yonseivirus,Casjensviridae
NC_073993.1,Mahraivirus limivicinum,Mahraivirus,Fiersviridae
NC_055780.1,Tequatrovirus mlf4,Tequatrovirus,Straboviridae
NC_043695.1,Sturgeon ichtadenovirus A,Ichtadenovirus,Adenoviridae
NC_049971.1,Bundooravirus PumA1,Bundooravirus,Salasmaviridae
NC_078369.1,Emaravirus perillae,Emaravirus,Fimoviridae
NC_074161.1,Mintinovirus pelohabitans,Mintinovirus,Solspiviridae
NC_049344.1,Xuanwuvirus xv520873,Xuanwuvirus,Peduoviridae
NC_043225.1,Senegalvirus marseillevirus,Marseillevirus,Marseilleviridae
NC_038449.1,Jatropha mosaic India virus,Begomovirus,Geminiviridae
NC_047883.1,Friunavirus SWHAb3,Friunavirus,Autographiviridae
NC_076436.1,Gemykibivirus galga1,Gemykibivirus,Genomoviridae
NC_006934.1,Reticuloendotheliosis virus,Gammaretrovirus,Retroviridae
NC_006558.1,Getah virus,Alphavirus,Togaviridae
NC_031301.1,Ledantevirus wuhan,Ledantevirus,Rhabdoviridae
NC_012211.2,Allium virus X,Potexvirus,Alphaflexiviridae
NC_038387.1,Circovirus saguzarra,Circovirus,Circoviridae
NC_078773.1,Thogotovirus sinuense,Thogotovirus,Orthomyxoviridae
NC_011592.1,Badnavirus venabougainvilleae,Badnavirus,Caulimoviridae
NC_004675.1,Tomato curly stunt virus,Begomovirus,Geminiviridae
NC_004300.1,Croton yellow vein mosaic virus,Begomovirus,Geminiviridae
NC_038830.1,Heterobasidion partitivirus 12,Alphapartitivirus,Partitiviridae
NC_042087.1,Corynebacterium virus Zion,Ceetrepovirus,Zierdtviridae
NC_047826.1,Ghunavirus WRT,Ghunavirus,Autographiviridae
NC_077167.1,Tadarida brasiliensis associated cyclovirus 1,Cyclovirus,Circoviridae
NC_049964.1,Claudivirus konjotrouble,Claudivirus,Salasmaviridae
NC_047950.1,Shenzhenvirus AhSzw1,Shenzhenvirus,Demerecviridae
NC_034560.1,Orthohantavirus kenkemeense,Orthohantavirus,Hantaviridae
NC_038236.1,Vesiculovirus indiana,Vesiculovirus,Rhabdoviridae
NC_043100.1,Mamastrovirus 15,Mamastrovirus,Astroviridae
NC_055503.1,Platycodon mild mottle virus,Potyvirus,Potyviridae
NC_074203.1,Shihmovirus borborovivens,Shihmovirus,Blumeviridae
NC_049504.1,Kuttervirus dinky,Kuttervirus,Ackermannviridae
NC_030144.1,Gemycircularvirus sheas1,Gemycircularvirus,Genomoviridae
NC_038663.1,Nelson Bay orthoreovirus,Orthoreovirus,Spinareoviridae
NC_040546.1,Wawtorquevirus crice2,Wawtorquevirus,Anelloviridae
NC_036390.1,Alphanucleorhabdovirus zeairanense,Alphanucleorhabdovirus,Rhabdoviridae
NC_047767.1,Sciuriunavirus SscM1,Sciuriunavirus,Herelleviridae
NC_073924.1,Condavirus edaphohabitans,Condavirus,Fiersviridae
NC_047896.1,Friunavirus SWHAb1,Friunavirus,Autographiviridae
NC_048217.1,Murine coronavirus,Betacoronavirus,Coronaviridae
NC_030153.1,Sclerotinia sclerotiorum mycoreovirus 4,Mycoreovirus,Spinareoviridae
NC_031232.1,Cytorhabdovirus gammawuhaninsectum,Cytorhabdovirus,Rhabdoviridae
NC_043403.1,Una virus,Alphavirus,Togaviridae
NC_075341.1,Porprismacovirus humas3,Porprismacovirus,Smacoviridae
NC_043155.1,Ornithogalum virus 3,Potyvirus,Potyviridae
NC_031079.1,Alpharicinrhavirus bole,Alpharicinrhavirus,Rhabdoviridae
NC_049395.1,Quadragintavirus ev015,Quadragintavirus,Peduoviridae
NC_043674.1,Orthobunyavirus witwatersrandense,Orthobunyavirus,Peribunyaviridae
NC_018282.1,Pseudomonas virus MP1412,Yuavirus,Mesyanzhinovviridae
NC_076099.1,Cardiovirus E,Cardiovirus,Picornaviridae
NC_076700.1,Unuamitovirus enmu2,Unuamitovirus,Mitoviridae
NC_038837.1,Crimson clover cryptic virus 2,Betapartitivirus,Partitiviridae
NC_007221.1,Penicillium stoloniferum virus F,Gammapartitivirus,Partitiviridae
NC_001671.1,Pea seed-borne mosaic virus,Potyvirus,Potyviridae
NC_075683.1,Iltovirus gallidalpha1,Iltovirus,Orthoherpesviridae
NC_078621.1,Thogotovirus josense,Thogotovirus,Orthomyxoviridae
NC_074969.1,Betanudivirus hezeae,Betanudivirus,Nudiviridae
NC_007382.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_038656.1,Oat sterile dwarf virus,Fijivirus,Spinareoviridae
NC_001818.1,Gallantivirus galinsogae,Gallantivirus,Tombusviridae
NC_006276.1,White clover cryptic virus 1,Alphapartitivirus,Partitiviridae
NC_049503.1,Kuttervirus aagejoakim,Kuttervirus,Ackermannviridae
NC_007016.1,Rhadinovirus macacinegamma11,Rhadinovirus,Orthoherpesviridae
NC_018082.1,Cotton leaf curl Multan alphasatellite,Colecusatellite,Alphasatellitidae
NC_007731.1,Alternanthera mosaic virus,Potexvirus,Alphaflexiviridae
NC_032681.1,Tai Forest alphavirus,Alphavirus,Togaviridae
NC_078358.1,Phasivirus parryense,Phasivirus,Phenuiviridae
NC_016759.1,Rosellinia necatrix quadrivirus 1,Quadrivirus,Quadriviridae
NC_020904.1,Circovirus canine,Circovirus,Circoviridae
NC_039002.1,Bellflower veinal mottle virus,Bevemovirus,Potyviridae
NC_074170.1,Tohkunevirus borborocola,Tohkunevirus,Solspiviridae
NC_038765.1,Nepovirus cucumis,Nepovirus,Secoviridae
AC_000013.1,Fowl aviadenovirus D,Aviadenovirus,Adenoviridae
NC_038633.1,Aquareovirus B,Aquareovirus,Spinareoviridae
NC_024509.1,Umatilla virus,Orbivirus,Sedoreoviridae
NC_032763.1,Decronivirus 1,Charybnivirus,Euroniviridae
NC_078418.1,Emaravirus camelliae,Emaravirus,Fimoviridae
NC_023815.1,Reptilian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_038594.1,Lebombo virus,Orbivirus,Sedoreoviridae
NC_016581.1,Tomato dwarf leaf virus,Begomovirus,Geminiviridae
NC_055384.1,Phlebovirus tehranense,Phlebovirus,Phenuiviridae
NC_033744.1,Kieseladnavirus ampcren,Kieseladnavirus,Bacilladnaviridae
NC_009019.1,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Coronaviridae
NC_055917.2,Bundooravirus whyphy,Bundooravirus,Salasmaviridae
NC_060091.1,Bean latent virus,Begomovirus,Geminiviridae
NC_029996.1,Betabaculovirus molatipedis,Betabaculovirus,Baculoviridae
NC_040347.1,Gemycircularvirus denbre1,Gemycircularvirus,Genomoviridae
NC_043249.1,Feldmannia irregularis virus a,Phaeovirus,Phycodnaviridae
NC_002588.1,Tymovirus chayotis,Tymovirus,Tymoviridae
NC_014902.1,Rhynchosia yellow mosaic India virus,Begomovirus,Geminiviridae
NC_038888.1,Tobacco leaf curl Comoros virus,Begomovirus,Geminiviridae
NC_040611.1,Cadicivirus B,Dicipivirus,Picornaviridae
NC_048795.1,Tequintavirus Th1,Tequintavirus,Demerecviridae
NC_076807.1,Scleroulivirus rhoplasmoparae,Scleroulivirus,Botourmiaviridae
NC_055438.1,Phlebovirus pantanalense,Phlebovirus,Phenuiviridae
NC_024810.1,Coccinia mosaic Tamil Nadu virus,Begomovirus,Geminiviridae
NC_076533.1,Orthobornavirus caenophidiae,Orthobornavirus,Bornaviridae
NC_011550.1,Munia coronavirus HKU13,Deltacoronavirus,Coronaviridae
NC_038688.1,Tomato yellow leaf curl Shandong betasatellite,Betasatellite,Tolecusatellitidae
NC_076799.1,Scleroulivirus iotaplasmoparae,Scleroulivirus,Botourmiaviridae
NC_030203.1,Sclerotinia sclerotiorum umbra-like virus 1,Umbravirus,Tombusviridae
NC_025895.1,Betapolyomavirus mastomysis,Betapolyomavirus,Polyomaviridae
NC_015289.1,Glaucusvirus ssm5,Glaucusvirus,Kyanoviridae
NC_016444.1,Sadwavirus fritillariae,Sadwavirus,Secoviridae
NC_027213.1,Raccoonpox virus,Orthopoxvirus,Poxviridae
NC_040786.1,Cytorhabdovirus oryzae,Cytorhabdovirus,Rhabdoviridae
NC_022632.1,Bandavirus razdanense,Bandavirus,Phenuiviridae
NC_021094.1,White clover cryptic virus 2,Betapartitivirus,Partitiviridae
NC_078416.1,Emaravirus camelliae,Emaravirus,Fimoviridae
NC_074143.1,Yuhrihovirus borborovivens,Yuhrihovirus,Fiersviridae
NC_055329.1,Phlebovirus chagresense,Phlebovirus,Phenuiviridae
NC_074215.1,Alehxovirus agradaptatum,Alehxovirus,Steitzviridae
NC_025728.1,Gemytondvirus ostri1,Gemytondvirus,Genomoviridae
NC_077015.1,Pestivirus S,Pestivirus,Flaviviridae
NC_001423.1,Salasvirus PZA,Salasvirus,Salasmaviridae
NC_049818.1,Warwickvirus tonijn,Warwickvirus,Drexlerviridae
NC_076368.1,Chaphamaparvovirus dasyurid1,Chaphamaparvovirus,Parvoviridae
NC_028814.1,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,Coronaviridae
NC_055898.1,Birpovirus hiberniae,Birpovirus,Suoliviridae
NC_005134.2,Betapapillomavirus 5,Betapapillomavirus,Papillomaviridae
NC_029101.1,Litunavirus PA26,Litunavirus,Schitoviridae
NC_001653.2,Hepatitis delta virus,Deltavirus,Kolmioviridae
NC_009002.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_076710.1,Cherry symptomless virus,Trichovirus,Betaflexiviridae
NC_001462.1,Coconut cadang-cadang viroid,Cocadviroid,Pospiviroidae
NC_055173.1,Actinovirus triacanthodis,Actinovirus,Hantaviridae
NC_006271.1,Cheravirus avii,Cheravirus,Secoviridae
NC_078825.1,Nepovirus solani,Nepovirus,Secoviridae
NC_073770.1,Blinduvirus terrihabitans,Blinduvirus,Atkinsviridae
NC_024502.1,Gentian ovary ringspot virus,Goravirus,Virgaviridae
NC_076269.1,Aquaparamyxovirus salmonis,Aquaparamyxovirus,Paramyxoviridae
NC_003377.1,Maize dwarf mosaic virus,Potyvirus,Potyviridae
NC_047937.1,Helsettvirus fPS54ocr,Helsettvirus,Autographiviridae
NC_078101.1,Mammarenavirus lijiangense,Mammarenavirus,Arenaviridae
NC_038867.1,Tymovirus theobromatis,Tymovirus,Tymoviridae
NC_054015.1,Alphacoronavirus HKU33,Alphacoronavirus,Coronaviridae
NC_008732.1,Mal de Rio Cuarto virus,Fijivirus,Spinareoviridae
NC_008603.1,Paramecium bursaria Chlorella virus A1,Chlorovirus,Phycodnaviridae
NC_025675.1,Hunnivirus A,Hunnivirus,Picornaviridae
NC_042085.1,Corynebacterium virus C3PO,Ceetrepovirus,Zierdtviridae
NC_076512.1,Simplexvirus bovinealpha2,Simplexvirus,Orthoherpesviridae
NC_075302.1,Rodent stool-associated circular genome virus,Glamdringvirus,Vilyaviridae
NC_038483.1,Gemycircularvirus odona2,Gemycircularvirus,Genomoviridae
NC_008892.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_078074.1,Phlebovirus campanaense,Phlebovirus,Phenuiviridae
NC_015487.1,Bean yellow mosaic Mexico virus,Begomovirus,Geminiviridae
NC_079098.1,Yezo virus,Orthonairovirus,Nairoviridae
NC_034246.1,Cowpea polerovirus 1,Polerovirus,Solemoviridae
NC_078071.1,Phlebovirus cocleense,Phlebovirus,Phenuiviridae
NC_031274.1,Pseudomonas phage O4,Paundecimvirus,Zobellviridae
NC_038734.1,Orthobunyavirus guajaraense,Orthobunyavirus,Peribunyaviridae
NC_055893.1,Buorbuivirus hominis,Buorbuivirus,Suoliviridae
NC_047944.1,Drulisvirus myPSH1235,Drulisvirus,Autographiviridae
NC_014907.1,Malvastrum yellow mosaic Cameroon alphasatellite,Colecusatellite,Alphasatellitidae
NC_023895.1,Dyokappapapillomavirus 2,Dyokappapapillomavirus,Papillomaviridae
NC_076262.1,Tomato leaf curl Bangladesh betasatellite,Betasatellite,Tolecusatellitidae
NC_074018.1,Mucrahivirus geovicinum,Mucrahivirus,Fiersviridae
NC_007213.1,Sida yellow vein virus satellite DNA beta,Betasatellite,Tolecusatellitidae
NC_011038.1,Berlinvirus Yepe2,Berlinvirus,Autographiviridae
NC_003816.1,Subterranean clover stunt virus,Nanovirus,Nanoviridae
NC_043574.1,Orthobunyavirus porteiraense,Orthobunyavirus,Peribunyaviridae
NC_024494.1,Bandavirus heartlandense,Bandavirus,Phenuiviridae
NC_076699.1,Unuamitovirus enmu1,Unuamitovirus,Mitoviridae
NC_001844.1,Varicellovirus equidalpha4,Varicellovirus,Orthoherpesviridae
NC_005237.1,Orthohantavirus seoulense,Orthohantavirus,Hantaviridae
NC_007662.1,Yunnan orbivirus,Orbivirus,Sedoreoviridae
NC_077947.1,Orthobunyavirus squalofluvii,Orthobunyavirus,Peribunyaviridae
NC_055119.1,Orthobunyavirus encephalitidis,Orthobunyavirus,Peribunyaviridae
NC_039237.1,Pestivirus tauri,Pestivirus,Flaviviridae
NC_039477.1,Norwalk virus,Norovirus,Caliciviridae
NC_020067.1,Alphapolyomavirus cardiodermae,Alphapolyomavirus,Polyomaviridae
NC_008017.1,Badnavirus deltasacchari,Badnavirus,Caulimoviridae
NC_004053.1,Unuamitovirus opno5,Unuamitovirus,Mitoviridae
NC_076399.1,Gemycircularvirus rebac1,Gemycircularvirus,Genomoviridae
NC_055266.1,Rotavirus J,Rotavirus,Sedoreoviridae
NC_034208.1,Sunflower ring blotch virus,Potyvirus,Potyviridae
NC_033833.1,Orthotospovirus melotessellati,Orthotospovirus,Tospoviridae
NC_028256.1,Aeropyrum pernix ovoid virus 1,Betaguttavirus,Guttaviridae
NC_055430.1,Orthotospovirus arachiflavi,Orthotospovirus,Tospoviridae
NC_002981.1,Ageratum yellow vein Sri Lanka virus,Begomovirus,Geminiviridae
NC_043558.1,Orthobunyavirus jamestownense,Orthobunyavirus,Peribunyaviridae
NC_038492.1,Gemycircularvirus ptero9,Gemycircularvirus,Genomoviridae
